Source_ID,Site_Lat,Site_Lon,Magnitude,Hypocenter_Lat,Hypocenter_Lon,Hypocenter_Depth,Distance,Azimuth,RotD50_2s
585,64.258409594681,-21.5341221991561,5.7,63.91505195872834,-22.03337227122053,2.4,45.29882134916717,32.20845766503727,-1.41187279204036
922,64.258409594681,-21.5341221991561,5.0,63.89462536969327,-21.26007884577346,6.55,43.08885796656608,-18.104832761747183,-2.140533476876238
783,64.258409594681,-21.5341221991561,5.4,63.90671475275674,-21.43618798533696,4.58,39.66065978672504,-6.8952699499552805,-1.4831613591578072
1254,64.258409594681,-21.5341221991561,5.2,63.94460000645476,-20.718999999935345,7.63,53.31971154398163,-48.24026304904094,-2.316545756243642
44,64.258409594681,-21.5341221991561,5.1,63.80150000808861,-22.737000000544363,4.2,77.64744986523648,48.52114787141234,-2.442728884152408
919,64.258409594681,-21.5341221991561,5.0,63.9290000064518,-21.133000000030574,6.93,42.06446107637854,-27.833286710926263,-2.045138678041026
1539,64.258409594681,-21.5341221991561,5.3,64.07100000659128,-19.886999999734872,3.22,82.55075763603325,-74.62689073476649,-1.7564318926020817
1388,64.258409594681,-21.5341221991561,6.1,63.989329429081934,-20.62667719487727,5.42,53.51434534861612,-55.39858996779669,-1.0590075069331517
168,64.258409594681,-21.5341221991561,5.3,63.89900000684472,-22.37100000034288,0.7,57.02893374983492,45.131361018495575,-1.5648436547633724
258,64.258409594681,-21.5341221991561,5.4,63.83700000698489,-22.446000000371374,1.97,64.56360185628081,43.03021357784484,-1.6877002057319763
762,64.258409594681,-21.5341221991561,5.3,64.01750000646904,-21.459000000106208,6.37,27.774999180103784,-7.712060234170218,-1.692568809737364
38,64.258409594681,-21.5341221991561,5.1,63.86152233204421,-22.56147263051567,0.69,66.67055956824976,48.08917330298032,-2.1200045608172866
1241,64.258409594681,-21.5341221991561,5.2,64.00592272515654,-21.04601549403134,9.4,37.911904248570295,-39.9264590698692,-2.238136098729856
691,64.258409594681,-21.5341221991561,5.1,64.02997493156003,-21.39787857293008,4.67,26.658234761795747,-14.518459651653728,-1.9708664203146349
909,64.258409594681,-21.5341221991561,5.0,64.04650000647415,-21.29700000006887,1.7,26.272841240098785,-25.8987122671505,-1.376430830522814
32,64.258409594681,-21.5341221991561,5.1,63.84750000729848,-22.558000000425533,3.6,67.68960988148493,47.012352844585806,-2.305702401838864
1601,64.258409594681,-21.5341221991561,5.5,63.98650000647744,-20.20399999981561,12.8,72.42044202727271,-64.3050919645199,-1.9124124579553168
1302,64.258409594681,-21.5341221991561,5.4,63.88916383863192,-21.043019211759464,1.7,47.525617452640766,-29.95738103315289,-1.4298050503158746
250,64.258409594681,-21.5341221991561,5.4,63.82400000782911,-22.688000000506896,1.5,74.09106229331213,48.7841170461208,-1.6359346588372146
